NIMI ;OSOITE;POSTINUMERO;KUNTA;LUVAN ALKUPÄIVÄ;LUVAN SELITE;OSASTON NIMI;ASIAKASPAIKAT;
Original Sokos Hotel Tapiola Garden;Tapionaukio 3;2100;Espoo;1.1.2001;Anniskelu A, kaikki alkoholijuomat;Saunaosasto;36;
Original Sokos Hotel Tapiola Garden;Tapionaukio 3;2100;Espoo;1.1.2001;Anniskelu A, kaikki alkoholijuomat;Aurinkoterassi;300;
Original Sokos Hotel Tapiola Garden;Tapionaukio 3;2100;Espoo;1.1.2001;Anniskelu A, kaikki alkoholijuomat;Aulabaari;60;
Original Sokos Hotel Tapiola Garden;Tapionaukio 3;2100;Espoo;1.1.2001;Anniskelu A, kaikki alkoholijuomat;Aulabaarin terassi;39;
Original Sokos Hotel Tapiola Garden;Tapionaukio 3;2100;Espoo;1.1.2001;Anniskelu A, kaikki alkoholijuomat;Keskusallas-terassi;99;
Original Sokos Hotel Tripla;Fredikanterassi 1 B;520;Helsinki;1.1.2020;Anniskelu A, kaikki alkoholijuomat;Juhlakerros 5.krs.5 juhlatilaa+aula;1000;
Original Sokos Hotel Tripla;Fredikanterassi 1 B;520;Helsinki;1.1.2020;Anniskelu A, kaikki alkoholijuomat;Kylä kahvila & baari;200;
Original Sokos Hotel Tripla;Fredikanterassi 1 B;520;Helsinki;1.1.2020;Anniskelu A, kaikki alkoholijuomat;Tilausravintola Böle;700;
Original Sokos Hotel Tripla;Fredikanterassi 1 B;520;Helsinki;1.1.2020;Anniskelu A, kaikki alkoholijuomat;Terassi;25;
Original Sokos Hotel Tripla;Fredikanterassi 1 B;520;Helsinki;1.1.2020;Anniskelu A, kaikki alkoholijuomat;Kokouskerros 7. krs.(10 tilaa+aula);250;
Original Sokos Hotel Tripla;Fredikanterassi 1 B;520;Helsinki;1.1.2020;Anniskelu A, kaikki alkoholijuomat;Saunatilat;50;
Original Sokos Hotel Tripla;Fredikanterassi 1 B;520;Helsinki;1.1.2020;Anniskelu A, kaikki alkoholijuomat;Hotellihuoneet;430;
Original Sokos Hotel Vaakuna;Asema-Aukio 2;100;Helsinki;1.1.2005;Anniskelu A, kaikki alkoholijuomat;Ravintola 10.kerros;425;
Original Sokos Hotel Vaakuna;Asema-Aukio 2;100;Helsinki;1.1.2005;Anniskelu A, kaikki alkoholijuomat;Kahvitori lounge;25;
Original Sokos Hotel Vaakuna;Asema-Aukio 2;100;Helsinki;1.1.2005;Anniskelu A, kaikki alkoholijuomat;Kabinetti 1. Armi;20;
Original Sokos Hotel Vaakuna;Asema-Aukio 2;100;Helsinki;1.1.2005;Anniskelu A, kaikki alkoholijuomat;Kabinetti 2. Olympia;20;
Original Sokos Hotel Vaakuna;Asema-Aukio 2;100;Helsinki;1.1.2005;Anniskelu A, kaikki alkoholijuomat;Kabinetti 3. Helsinki;20;
Original Sokos Hotel Vaakuna;Asema-Aukio 2;100;Helsinki;1.1.2005;Anniskelu A, kaikki alkoholijuomat;Kabinetti 4. Tynell;30;
Original Sokos Hotel Vaakuna;Asema-Aukio 2;100;Helsinki;1.1.2005;Anniskelu A, kaikki alkoholijuomat;Aurinko-kabinetti;20;
Original Sokos Hotel Vaakuna;Asema-Aukio 2;100;Helsinki;1.1.2005;Anniskelu A, kaikki alkoholijuomat;Aamiaistila;50;
Original Sokos Hotel Vaakuna;Asema-Aukio 2;100;Helsinki;1.1.2005;Anniskelu A, kaikki alkoholijuomat;Ravintola 10.kerros terassi;200;
Original Sokos Hotel Vaakuna;Asema-Aukio 2;100;Helsinki;1.1.2005;Anniskelu A, kaikki alkoholijuomat;Kahvitorikäytävä;50;
Original Sokos Hotel Vaakuna;Asema-Aukio 2;100;Helsinki;1.1.2005;Anniskelu A, kaikki alkoholijuomat;Vaakuna-kabinetti;30;
Original Sokos Hotel Vaakuna;Asema-Aukio 2;100;Helsinki;1.1.2005;Anniskelu A, kaikki alkoholijuomat;Tilausravintola 10.kerros terassi;50;
Original Sokos Hotel Vaakuna;Asema-Aukio 2;100;Helsinki;1.1.2005;Anniskelu A, kaikki alkoholijuomat;Tilausravintola 10.kerros;200;
Original Sokos Hotel Vaakuna;Asema-Aukio 2;100;Helsinki;1.1.2005;Anniskelu A, kaikki alkoholijuomat;Aulatila;50;
Original Sokos Hotel Vaakuna;Asema-Aukio 2;100;Helsinki;1.1.2005;Anniskelu A, kaikki alkoholijuomat;Huttunen-kabinetti;10;
Original Sokos Hotel Vaakuna;Asema-Aukio 2;100;Helsinki;1.1.2005;Anniskelu A, kaikki alkoholijuomat;10.kerros Saunaosasto;60;
Original Sokos Hotel Vaakuna;Asema-Aukio 2;100;Helsinki;1.1.2005;Anniskelu A, kaikki alkoholijuomat;10.kerros Saunaosaston terassi;60;
Original Sokos Hotel Vaakuna;Koskikatu 4;96200;Rovaniemi;1.1.2009;Anniskelu A, kaikki alkoholijuomat;Amarillon terassi;90;
Original Sokos Hotel Vaakuna;Koskikatu 4;96200;Rovaniemi;1.1.2009;Anniskelu A, kaikki alkoholijuomat;Hotellin aula;50;
Original Sokos Hotel Vaakuna;Koskikatu 4;96200;Rovaniemi;1.1.2009;Anniskelu A, kaikki alkoholijuomat;Aula -1 krs;20;
Original Sokos Hotel Vaakuna;Koskikatu 4;96200;Rovaniemi;1.1.2009;Anniskelu A, kaikki alkoholijuomat;Frans & Chérie terassi;68;
Original Sokos Hotel Vaakuna;Koskikatu 4;96200;Rovaniemi;1.1.2009;Anniskelu A, kaikki alkoholijuomat;Mon Amour -kabinetti;110;
Original Sokos Hotel Vaakuna;Koskikatu 4;96200;Rovaniemi;1.1.2009;Anniskelu A, kaikki alkoholijuomat;Hotellin aulan terassi;30;
Original Sokos Hotel Vaakuna;Koskikatu 4;96200;Rovaniemi;1.1.2009;Anniskelu A, kaikki alkoholijuomat;Miesten saunan oleskelutila;15;
Original Sokos Hotel Vaakuna;Koskikatu 4;96200;Rovaniemi;1.1.2009;Anniskelu A, kaikki alkoholijuomat;Naisten saunan oleskelutila;15;
Original Sokos Hotel Vaakuna;Koskikatu 4;96200;Rovaniemi;1.1.2009;Anniskelu A, kaikki alkoholijuomat;Frans & Chérie Bistro;150;
Original Sokos Hotel Vaakuna;Koskikatu 4;96200;Rovaniemi;1.1.2009;Anniskelu A, kaikki alkoholijuomat;Doris Night;470;
Original Sokos Hotel Vaakuna;Koskikatu 4;96200;Rovaniemi;1.1.2009;Anniskelu A, kaikki alkoholijuomat;Amarillo;310;
Original Sokos Hotel Vaakuna;Koskikatu 4;96200;Rovaniemi;1.1.2009;Anniskelu A, kaikki alkoholijuomat;Frans & Chérie baari;60;
Original Sokos Hotel Vaakuna;Koskikatu 4;96200;Rovaniemi;1.1.2009;Anniskelu A, kaikki alkoholijuomat;Kokoustila, 3.krs.;60;
Original Sokos Hotel Vaakuna;Koskikatu 4;96200;Rovaniemi;1.1.2009;Anniskelu A, kaikki alkoholijuomat;Tilaussauna 3. krs olesk.tila ja pu;15;
Original Sokos Hotel Vaakuna;Koskikatu 4;96200;Rovaniemi;1.1.2009;Anniskelu A, kaikki alkoholijuomat;Oleskelualue kahvitori, 3.krs.;25;
Original Sokos Hotel Vantaa;Hertaksentie 2;1300;Vantaa;1.1.2001;Anniskelu A, kaikki alkoholijuomat;Kokousbuffet, -1 krs.;150;
Original Sokos Hotel Vantaa;Hertaksentie 2;1300;Vantaa;1.1.2001;Anniskelu A, kaikki alkoholijuomat;Männistö kabinetti, 1 krs.;30;
Original Sokos Hotel Vantaa;Hertaksentie 2;1300;Vantaa;1.1.2001;Anniskelu A, kaikki alkoholijuomat;Puistola 1-4 kabinetit, -1 krs.;400;
Original Sokos Hotel Vantaa;Hertaksentie 2;1300;Vantaa;1.1.2001;Anniskelu A, kaikki alkoholijuomat;Tammisto kabinetti, 1 krs.;30;
Original Sokos Hotel Vantaa;Hertaksentie 2;1300;Vantaa;1.1.2001;Anniskelu A, kaikki alkoholijuomat;Koivikko kabinetti, 1 krs.;30;
Original Sokos Hotel Vantaa;Hertaksentie 2;1300;Vantaa;1.1.2001;Anniskelu A, kaikki alkoholijuomat;Kabinetti  wahllund, 2 krs;28;
Original Sokos Hotel Vantaa;Hertaksentie 2;1300;Vantaa;1.1.2001;Anniskelu A, kaikki alkoholijuomat;Nissen  kabinetti, 7 Krs;20;
Original Sokos Hotel Vantaa;Hertaksentie 2;1300;Vantaa;1.1.2001;Anniskelu A, kaikki alkoholijuomat;Asukassauna kabinetti,7 Krs;12;
Original Sokos Hotel Vantaa;Hertaksentie 2;1300;Vantaa;1.1.2001;Anniskelu A, kaikki alkoholijuomat;Hertas/kesäterassi, 1 krs;224;
Original Sokos Hotel Vantaa;Hertaksentie 2;1300;Vantaa;1.1.2001;Anniskelu A, kaikki alkoholijuomat;Bar/Parvekkeet 7 Krs;12;
Original Sokos Hotel Vantaa;Hertaksentie 2;1300;Vantaa;1.1.2001;Anniskelu A, kaikki alkoholijuomat;Motti kabinetti, 6 krs;40;
Original Sokos Hotel Vantaa;Hertaksentie 2;1300;Vantaa;1.1.2001;Anniskelu A, kaikki alkoholijuomat;Mestrien salit kok.tilat 1-3, 1 Krs;280;
Original Sokos Hotel Vantaa;Hertaksentie 2;1300;Vantaa;1.1.2001;Anniskelu A, kaikki alkoholijuomat;auditorio, - 1 krs.;106;
Original Sokos Hotel Vantaa;Hertaksentie 2;1300;Vantaa;1.1.2001;Anniskelu A, kaikki alkoholijuomat;aulatilat 3, 4, 5, 6 kerrokset;80;
Original Sokos Hotel Vantaa;Hertaksentie 2;1300;Vantaa;1.1.2001;Anniskelu A, kaikki alkoholijuomat;Executive saunan kabinetti, 7 krs.;32;
Original Sokos Hotel Vantaa;Hertaksentie 2;1300;Vantaa;1.1.2001;Anniskelu A, kaikki alkoholijuomat;Pub Hertas, sali, 1 krs;300;
Original Sokos Hotel Vantaa;Hertaksentie 2;1300;Vantaa;1.1.2001;Anniskelu A, kaikki alkoholijuomat;Kesäterassi, 1 krs.;100;
Original Sokos Hotel Vantaa;Hertaksentie 2;1300;Vantaa;1.1.2001;Anniskelu A, kaikki alkoholijuomat;Tulisuudelma, 2.krs;700;
Original Sokos Hotel Vantaa;Hertaksentie 2;1300;Vantaa;1.1.2001;Anniskelu A, kaikki alkoholijuomat;Night Vantaa, -1 krs;315;
Original Sokos Hotel Vantaa;Hertaksentie 2;1300;Vantaa;1.1.2001;Anniskelu A, kaikki alkoholijuomat;Parveketerassi, 2 krs.;60;
Original Sokos Hotel Vantaa;Hertaksentie 2;1300;Vantaa;1.1.2001;Anniskelu A, kaikki alkoholijuomat;Amarillo + Amarillo Street Bar (aul;368;
Original Sokos Hotel Vantaa;Hertaksentie 2;1300;Vantaa;1.1.2001;Anniskelu A, kaikki alkoholijuomat;Point House bar terassi, 1 krs.;100;
Original Sokos Hotel Vantaa;Hertaksentie 2;1300;Vantaa;1.1.2001;Anniskelu A, kaikki alkoholijuomat;kokousbuffet, 1 krs.;60;
Original Sokos Hotel Vantaa;Hertaksentie 2;1300;Vantaa;1.1.2001;Anniskelu A, kaikki alkoholijuomat;Saunakabinetit 2 kpl.,-1 krs.;30;
Original Sokos Hotel Wiklund;Eerikinkatu 11;20100;Turku;1.1.2015;Anniskelu A, kaikki alkoholijuomat;Coworktila 3. krs.;28;
Original Sokos Hotel Wiklund;Eerikinkatu 11;20100;Turku;1.1.2015;Anniskelu A, kaikki alkoholijuomat;Sirkus 3. krs.;25;
Original Sokos Hotel Wiklund;Eerikinkatu 11;20100;Turku;1.1.2015;Anniskelu A, kaikki alkoholijuomat;Kahvila 3. krs.;44;
Original Sokos Hotel Wiklund;Eerikinkatu 11;20100;Turku;1.1.2015;Anniskelu A, kaikki alkoholijuomat;Coffee House ravintolasali 1.krs;160;
Original Sokos Hotel Wiklund;Eerikinkatu 11;20100;Turku;1.1.2015;Anniskelu A, kaikki alkoholijuomat;Parveke 2. krs.;79;
Original Sokos Hotel Wiklund;Eerikinkatu 11;20100;Turku;1.1.2015;Anniskelu A, kaikki alkoholijuomat;Tapahtuma/Show Room 3. krs.;180;
Original Sokos Hotel Wiklund;Eerikinkatu 11;20100;Turku;1.1.2015;Anniskelu A, kaikki alkoholijuomat;Trattoria ravintolasali;158;
Original Sokos Hotel Wiklund;Eerikinkatu 11;20100;Turku;1.1.2015;Anniskelu A, kaikki alkoholijuomat;Venn ravintolasali;113;
Original Sokos Hotel Wiklund;Eerikinkatu 11;20100;Turku;1.1.2015;Anniskelu A, kaikki alkoholijuomat;Rapido ravintolasali;116;
Original Sokos Hotel Wiklund;Eerikinkatu 11;20100;Turku;1.1.2015;Anniskelu A, kaikki alkoholijuomat;Walo Roofttop Bar terassi 10. krs;104;
Original Sokos Hotel Wiklund;Eerikinkatu 11;20100;Turku;1.1.2015;Anniskelu A, kaikki alkoholijuomat;Walo Roofttop Bar terassi 9. krs;49;
Original Sokos Hotel Wiklund;Eerikinkatu 11;20100;Turku;1.1.2015;Anniskelu A, kaikki alkoholijuomat;Walo Rooftop Bar;80;
Original Sokos Hotel Wiklund;Eerikinkatu 11;20100;Turku;1.1.2015;Anniskelu A, kaikki alkoholijuomat;Kokoustilat 3. krs.;110;
Original Sokos Hotel Wiklund;Eerikinkatu 11;20100;Turku;1.1.2015;Anniskelu A, kaikki alkoholijuomat;Coffee House MeikkiBaari, 1.krs;20;
Original Sokos HotelVaakunaJoensuu;Torikatu 20;80100;Joensuu;1.4.2018;Ann.lupa sis. vähittäismyynnin;Coffee House;80;
Original Sokos HotelVaakunaJoensuu;Torikatu 20;80100;Joensuu;1.4.2018;Ann.lupa sis. vähittäismyynnin;Gastropub Vispiläkauppa;66;
Original Sokos HotelVaakunaJoensuu;Torikatu 20;80100;Joensuu;1.4.2018;Ann.lupa sis. vähittäismyynnin;Bepop Street;140;
Original Sokos HotelVaakunaJoensuu;Torikatu 20;80100;Joensuu;1.4.2018;Ann.lupa sis. vähittäismyynnin;Vispilänkauppa terassi 10;10;
Original Sokos HotelVaakunaJoensuu;Torikatu 20;80100;Joensuu;1.4.2018;Ann.lupa sis. vähittäismyynnin;Coffee House terassi 1.4.-30.9.;24;
Original Sokos HotelVaakunaJoensuu;Torikatu 20;80100;Joensuu;1.4.2018;Ann.lupa sis. vähittäismyynnin;Amarillo;460;
Original Sokos HotelVaakunaJoensuu;Torikatu 20;80100;Joensuu;1.4.2018;Ann.lupa sis. vähittäismyynnin;Bepop alakerta;500;
Original Sokos HotelVaakunaJoensuu;Torikatu 20;80100;Joensuu;1.4.2018;Ann.lupa sis. vähittäismyynnin;Saunaosaston pukuhuoneet;44;
Original Sokos HotelVaakunaJoensuu;Torikatu 20;80100;Joensuu;1.4.2018;Ann.lupa sis. vähittäismyynnin;Amarillon terassi;40;
Original Sokos HotelVaakunaJoensuu;Torikatu 20;80100;Joensuu;1.4.2018;Ann.lupa sis. vähittäismyynnin;Torero;186;
Original Sokos HotelVaakunaJoensuu;Torikatu 20;80100;Joensuu;1.4.2018;Ann.lupa sis. vähittäismyynnin;Rosso/ Orient Kitchen;175;
Original Sokos HotelVaakunaJoensuu;Torikatu 20;80100;Joensuu;1.4.2018;Ann.lupa sis. vähittäismyynnin;Rosson terassi Huom. vuokrasopimus;66;
Original Sokos HotelVaakunaJoensuu;Torikatu 20;80100;Joensuu;1.4.2018;Ann.lupa sis. vähittäismyynnin;Bepop Street terassi huom;74;
Original Sokos HotelVaakunaJoensuu;Torikatu 20;80100;Joensuu;1.4.2018;Ann.lupa sis. vähittäismyynnin;Saunaosaston oleskelutila ja terass;70;
Orikedon Taverna;Vanha Tampereentie 137;20380;Turku;15.10.2018;Anniskelu A, kaikki alkoholijuomat;Terassi;24;
Orikedon Taverna;Vanha Tampereentie 137;20380;Turku;15.10.2018;Anniskelu A, kaikki alkoholijuomat;ravintolasali;48;
Orilammen Maja ja Lomakeskus;Voikoskentie 138;47910;Kouvola;1.6.2018;Ann.lupa sis. vähittäismyynnin;Ravintolasali;240;
Orilammen Maja ja Lomakeskus;Voikoskentie 138;47910;Kouvola;1.6.2018;Ann.lupa sis. vähittäismyynnin;Orilampi-sali;68;
Orilammen Maja ja Lomakeskus;Voikoskentie 138;47910;Kouvola;1.6.2018;Ann.lupa sis. vähittäismyynnin;Kabinetit;52;
Orilammen Maja ja Lomakeskus;Voikoskentie 138;47910;Kouvola;1.6.2018;Ann.lupa sis. vähittäismyynnin;Lempi Rantaravintola;60;
Orilammen Maja ja Lomakeskus;Voikoskentie 138;47910;Kouvola;1.6.2018;Ann.lupa sis. vähittäismyynnin;Pieni Terassi;15;
Orilammen Maja ja Lomakeskus;Voikoskentie 138;47910;Kouvola;1.6.2018;Ann.lupa sis. vähittäismyynnin;Iso Terassi;80;
Orilammen Maja ja Lomakeskus;Voikoskentie 138;47910;Kouvola;1.6.2018;Ann.lupa sis. vähittäismyynnin;Saunatilat;45;
Orilammen Maja ja Lomakeskus;Voikoskentie 138;47910;Kouvola;1.6.2018;Ann.lupa sis. vähittäismyynnin;Luentosali;80;
Orimattilan Kotieläinpuisto;Ravitie 6;16300;Orimattila;1.3.2018;Anniskelu A, kaikki alkoholijuomat;Kahvila Riikinkukko;50;
Orimattilan Kotieläinpuisto;Ravitie 6;16300;Orimattila;1.3.2018;Anniskelu A, kaikki alkoholijuomat;Saluuna Kahvila;38;
Orimattilan Kotieläinpuisto;Ravitie 6;16300;Orimattila;1.3.2018;Anniskelu A, kaikki alkoholijuomat;Saluunaterassi;52;
Orimattilan Kotipizza;Erkontie 12;16300;Orimattila;17.6.2019;Ann.lupa sis. vähittäismyynnin;Ravintolan asiakastila;32;
Orimattilan Nappula;Erkontie 2;16300;Orimattila;30.6.2020;Määräaikainen A, kaikki alkoholijuomat;Ravintolasali;80;
Orimattilan Nappula;Erkontie 2;16300;Orimattila;30.6.2020;Määräaikainen A, kaikki alkoholijuomat;Terassi;40;
Osaka Sushi;Kuriiritie 23-25;1300;Vantaa;1.2.2019;Anniskelu A, kaikki alkoholijuomat;Aula;32;
Osaka Sushi;Kuriiritie 23-25;1300;Vantaa;1.2.2019;Anniskelu A, kaikki alkoholijuomat;Ravintolasali 1;36;
Osaka Sushi;Kuriiritie 23-25;1300;Vantaa;1.2.2019;Anniskelu A, kaikki alkoholijuomat;Terassi;16;
Osaka Sushi;Kuriiritie 23-25;1300;Vantaa;1.2.2019;Anniskelu A, kaikki alkoholijuomat;Ravintolasali 2;56;
Osaka Sushi;Vattuniemenkatu 13;210;Helsinki;7.2.2020;Anniskelu A, kaikki alkoholijuomat;Kabinetti;30;
Osaka Sushi;Vattuniemenkatu 13;210;Helsinki;7.2.2020;Anniskelu A, kaikki alkoholijuomat;Terassi;25;
Osaka Sushi;Vattuniemenkatu 13;210;Helsinki;7.2.2020;Anniskelu A, kaikki alkoholijuomat;Sali;49;
Oskarin Kellari;Uusikatu 26;90100;Oulu;1.6.2012;Anniskelu A, kaikki alkoholijuomat;Ravintolasali;129;
Osmos Cosmos Bar;Koskenparras 5;55100;Imatra;18.2.2009;Anniskelu A, kaikki alkoholijuomat;Terassi 2;30;
Osmos Cosmos Bar;Koskenparras 5;55100;Imatra;18.2.2009;Anniskelu A, kaikki alkoholijuomat;Yökerho;250;
Osmos Cosmos Bar;Koskenparras 5;55100;Imatra;18.2.2009;Anniskelu A, kaikki alkoholijuomat;Vip-tilat;20;
Osmos Cosmos Bar;Koskenparras 5;55100;Imatra;18.2.2009;Anniskelu A, kaikki alkoholijuomat;Pystybaari;31;
Osmos Cosmos Bar;Koskenparras 5;55100;Imatra;18.2.2009;Anniskelu A, kaikki alkoholijuomat;Terassi 1;35;
Osmos Cosmos Bar;Koskenparras 5;55100;Imatra;18.2.2009;Anniskelu A, kaikki alkoholijuomat;Kabinetti;21;
Osmos Cosmos Bar;Koskenparras 5;55100;Imatra;18.2.2009;Anniskelu A, kaikki alkoholijuomat;Aula;80;
Osmos Cosmos Bar;Koskenparras 5;55100;Imatra;18.2.2009;Anniskelu A, kaikki alkoholijuomat;Sporttibar;40;
Osmos Cosmos Bar;Koskenparras 5;55100;Imatra;18.2.2009;Anniskelu A, kaikki alkoholijuomat;Ravintolasali;85;
Osteria da Filippo;Kauppakatu 20;26100;Rauma;18.4.2018;Ann.lupa sis. vähittäismyynnin;Kabinetti;16;
Osteria da Filippo;Kauppakatu 20;26100;Rauma;18.4.2018;Ann.lupa sis. vähittäismyynnin;Kahvila;4;
Osteria da Filippo;Kauppakatu 20;26100;Rauma;18.4.2018;Ann.lupa sis. vähittäismyynnin;Terassi;8;
Osteria da Filippo;Kauppakatu 20;26100;Rauma;18.4.2018;Ann.lupa sis. vähittäismyynnin;Ravintolasali;14;
Ostola Etappi;Väliväyläntie 826;46530;Luumäki;11.5.2020;Anniskelu A, kaikki alkoholijuomat;ulkoalue;100;
Ostola Etappi;Väliväyläntie 826;46530;Luumäki;11.5.2020;Anniskelu A, kaikki alkoholijuomat;terassi;60;
Ostola Etappi;Väliväyläntie 826;46530;Luumäki;11.5.2020;Anniskelu A, kaikki alkoholijuomat;Baari-kahvila;40;
Ostrobotnia;Museokatu 10;100;Helsinki;20.4.2018;Ann.lupa sis. vähittäismyynnin;Runeberg-kabinetti, 2.krs;18;
Ostrobotnia;Museokatu 10;100;Helsinki;20.4.2018;Ann.lupa sis. vähittäismyynnin;Manalan terassi;37;
Ostrobotnia;Museokatu 10;100;Helsinki;20.4.2018;Ann.lupa sis. vähittäismyynnin;Jääkäri-kabinetti, 2.krs;30;
Ostrobotnia;Museokatu 10;100;Helsinki;20.4.2018;Ann.lupa sis. vähittäismyynnin;Snellman-kabinetti, 2.krs;30;
Ostrobotnia;Museokatu 10;100;Helsinki;20.4.2018;Ann.lupa sis. vähittäismyynnin;Chydenius-kabinetti, 2.krs;40;
Ostrobotnia;Museokatu 10;100;Helsinki;20.4.2018;Ann.lupa sis. vähittäismyynnin;St. Urho's  Pub;90;
Ostrobotnia;Museokatu 10;100;Helsinki;20.4.2018;Ann.lupa sis. vähittäismyynnin;Aulabaari, 2.krs;102;
Ostrobotnia;Museokatu 10;100;Helsinki;20.4.2018;Ann.lupa sis. vähittäismyynnin;Baarikabinetti, 3.krs;100;
Ostrobotnia;Museokatu 10;100;Helsinki;20.4.2018;Ann.lupa sis. vähittäismyynnin;Juhlasali, 2.krs;180;
Ostrobotnia;Museokatu 10;100;Helsinki;20.4.2018;Ann.lupa sis. vähittäismyynnin;Ravintola Manala, 1. krs;139;
Ostrobotnia;Museokatu 10;100;Helsinki;20.4.2018;Ann.lupa sis. vähittäismyynnin;Museokadun terassi;16;
Ostrobotnia;Museokatu 10;100;Helsinki;20.4.2018;Ann.lupa sis. vähittäismyynnin;Juhlakrs, Museok., 1.krs;47;
Ostrobotnia;Museokatu 10;100;Helsinki;20.4.2018;Ann.lupa sis. vähittäismyynnin;Töölönkadun terassi;18;
Ostrobotnia;Museokatu 10;100;Helsinki;20.4.2018;Ann.lupa sis. vähittäismyynnin;St. Urho´s terassi;20;
Ostrobotnia;Museokatu 10;100;Helsinki;20.4.2018;Ann.lupa sis. vähittäismyynnin;Manalan Kellari;60;
Osula;Keskuskatu 39;75700;Valtimo;14.6.2019;Anniskelu A, kaikki alkoholijuomat;Disco-sali;28;
Osula;Keskuskatu 39;75700;Valtimo;14.6.2019;Anniskelu A, kaikki alkoholijuomat;Terassi;48;
Osula;Keskuskatu 39;75700;Valtimo;14.6.2019;Anniskelu A, kaikki alkoholijuomat;Kabinetti;10;
Osula;Keskuskatu 39;75700;Valtimo;14.6.2019;Anniskelu A, kaikki alkoholijuomat;Pukuhuone;2;
Osula;Keskuskatu 39;75700;Valtimo;14.6.2019;Anniskelu A, kaikki alkoholijuomat;Kahvila-baari;91;
Osuuskunta Turun Kirjakahvila-;Vanha Suurtori, Brinkkala;20500;Turku;1.3.2018;Anniskelu A, kaikki alkoholijuomat;Kahvila;40;
Osuuskunta Turun Kirjakahvila-;Vanha Suurtori, Brinkkala;20500;Turku;1.3.2018;Anniskelu A, kaikki alkoholijuomat;Terassi;40;
Oswalds;Kauppiaankatu 11;10300;Raasepori;12.2.2020;Määräaikainen A, kaikki alkoholijuomat;Sali;55;
Oswalds;Kauppiaankatu 11;10300;Raasepori;12.2.2020;Määräaikainen A, kaikki alkoholijuomat;Terassi;40;
Oswalds;Kauppiaankatu 11;10300;Raasepori;12.2.2020;Määräaikainen A, kaikki alkoholijuomat;Sali, 2. krs;20;
Otsolan Hovi;Otsolantie 20;31640;Humppila;1.11.2004;Anniskelu A, kaikki alkoholijuomat;Pihapaviljonki;110;
Otsolan Hovi;Otsolantie 20;31640;Humppila;1.11.2004;Anniskelu A, kaikki alkoholijuomat;Saunan terassi;20;
Otsolan Hovi;Otsolantie 20;31640;Humppila;1.11.2004;Anniskelu A, kaikki alkoholijuomat;Neuvotteluhuoneet;10;
Otsolan Hovi;Otsolantie 20;31640;Humppila;1.11.2004;Anniskelu A, kaikki alkoholijuomat;Kabinetti;30;
Otsolan Hovi;Otsolantie 20;31640;Humppila;1.11.2004;Anniskelu A, kaikki alkoholijuomat;Baari;14;
Otsolan Hovi;Otsolantie 20;31640;Humppila;1.11.2004;Anniskelu A, kaikki alkoholijuomat;Pukuhuone;20;
Otsolan Hovi;Otsolantie 20;31640;Humppila;1.11.2004;Anniskelu A, kaikki alkoholijuomat;TV/aulatila;40;
Otsolan Hovi;Otsolantie 20;31640;Humppila;1.11.2004;Anniskelu A, kaikki alkoholijuomat;Sali;100;
Otsolan Hovi;Otsolantie 20;31640;Humppila;1.11.2004;Anniskelu A, kaikki alkoholijuomat;Ulkoterassi (1.4.-31.10.);60;
Oukki Bar;Pormestarinkatu 4 Lt 4;6100;Porvoo;1.10.2019;Anniskelu A, kaikki alkoholijuomat;Terassi;15;
Oukki Bar;Pormestarinkatu 4 Lt 4;6100;Porvoo;1.10.2019;Anniskelu A, kaikki alkoholijuomat;Baari;35;
Oulaisten Nuorisoseura Soihtula;Soihtulankatu 4;86300;Oulainen;1.3.2018;Anniskelu A, kaikki alkoholijuomat;Soihtulan kahvila;94;
Oulaisten urheilukenttä;Kotimarjalankatu;86300;Oulainen;27.6.2020;Määräaikainen A, kaikki alkoholijuomat;Olutteltta ja aitaus;40;
Oulu Cafe;Lentokentäntie 720;90410;Oulu;29.8.2011;Anniskelu A, kaikki alkoholijuomat;Kabinetti Kuovi;40;
Oulu Cafe;Lentokentäntie 720;90410;Oulu;29.8.2011;Anniskelu A, kaikki alkoholijuomat;Oulu Cafe landside;70;
Oulu Cafe;Lentokentäntie 720;90410;Oulu;29.8.2011;Anniskelu A, kaikki alkoholijuomat;VIP-kabinetti 2. krs;20;
Oulu Cafe;Lentokentäntie 720;90410;Oulu;29.8.2011;Anniskelu A, kaikki alkoholijuomat;Kabinetti Tiira;10;
Oulu Cafe;Lentokentäntie 720;90410;Oulu;29.8.2011;Anniskelu A, kaikki alkoholijuomat;Lounge-kabinetti 1. krs.;40;
Oulu-Opiston Kahvio;Suvantokatu 1;90150;Oulu;1.3.2018;Anniskelu A, kaikki alkoholijuomat;Kahvila ja aula;500;
Ouluhallin Kahvila;Ouluhallintie 20;90130;Oulu;24.6.1991;Anniskelu A, kaikki alkoholijuomat;Ruuhkamyyntitila, 2.krs.;160;
Ouluhallin Kahvila;Ouluhallintie 20;90130;Oulu;24.6.1991;Anniskelu A, kaikki alkoholijuomat;Kahvila, 2.krs.;80;
Ouluhallin Kahvila;Ouluhallintie 20;90130;Oulu;24.6.1991;Anniskelu A, kaikki alkoholijuomat;Kenttätaso, 1.krs.;200;
Oulujokilaakson Golf-kahvila;Golffarintie 60;91500;Muhos;1.5.2020;Ann.lupa sis. vähittäismyynnin;Terassi;12;
